year,cut,group,n,n_filiadas_unw,pct_filiadas,ci_lo,ci_hi
2022,race_x_formality,negras_com_carteira,1684,35,2.04,1.498,2.877
2022,race_x_formality,negras_sem_carteira,5447,276,3.472,4.516,5.682
2022,race_x_formality,nao_negras_com_carteira,877,16,1.211,1.126,2.943
2022,race_x_formality,nao_negras_sem_carteira,2486,78,2.533,2.521,3.898
2023,overall,all,10771,325,1.996,2.711,3.358
2023,race,negras,7381,248,2.221,2.973,3.796
2023,race,nao_negras,3387,77,1.561,1.823,2.832
2023,formality,com_carteira,2568,40,1.154,1.146,2.114
2023,formality,sem_carteira,8203,285,2.266,3.099,3.893
2023,race_x_formality,negras_com_carteira,1710,27,1.248,1.087,2.288
2023,race_x_formality,negras_sem_carteira,5671,221,2.524,3.424,4.433
2023,race_x_formality,nao_negras_com_carteira,857,13,0.982,0.889,2.578
2023,race_x_formality,nao_negras_sem_carteira,2530,64,1.756,1.986,3.217
