respondent_anon_id,raw_text,categoria_num,categoria_label,categoria_sub,categoria_sub_label
A-081,Atendimento,5,Todas / não sabe / sem resposta clara,5b,Listou setores físicos do sindicato sem articular função
A-082,Portaria e Jurídico,5,Todas / não sabe / sem resposta clara,5b,Listou setores físicos do sindicato sem articular função
A-083,Atendimento,5,Todas / não sabe / sem resposta clara,5b,Listou setores físicos do sindicato sem articular função
A-084,Todas,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-085,Todas as funções,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-086,"Portaria, Jurídico e o atendimento são importantes, mas depende de quem vai ter atenção",5,Todas / não sabe / sem resposta clara,5b,Listou setores físicos do sindicato sem articular função
A-087,Eu acho que todas as funções são importantes,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-088,Todas,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-089,Todas,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-090,Todas,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-091,Todas são importante,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-092,Todas,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-093,Todas,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-094,Todas,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-095,Todas,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-096,Todas,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-097,Qualquer função é importante,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-098,Sim,5,Todas / não sabe / sem resposta clara,5e,"Vago, genérico ou off-topic"
A-099,Atendimento,5,Todas / não sabe / sem resposta clara,5b,Listou setores físicos do sindicato sem articular função
A-100,Todas,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-102,Todas,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-103,Atentidmento,5,Todas / não sabe / sem resposta clara,5b,Listou setores físicos do sindicato sem articular função
A-104,Todas as informações são importantes,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-105,Todas,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-106,Todas as funções são importantes,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-107,Atendimento,5,Todas / não sabe / sem resposta clara,5b,Listou setores físicos do sindicato sem articular função
A-108,"E lutar, mudar e perceverar para que toda a categoria tenha seus direitos respeitados",1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-109,Defesa das causas trabalhistas nos direitos legais,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-110,Cuidar dos trabalhadores quando somos demitidas,4,"Cuidado, proteção e acolhimento",4,"Cuidado, proteção e acolhimento"
A-111,Lutar e defender mesmo,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-112,Defender e orientar as domésticas,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-113,Defender os nossos direitos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-114,Defender os nossos direitos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-115,Defender e lutar para os nossos direitos sejam preservados,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-116,Ajudar a gente a receber tudo direitinho,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-117,Tirar dúvidas das domésticas,2,Orientação sobre direitos,2,Orientação sobre direitos
A-118,Defender processos,3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-119,"Não sei bem ao certo, mas um dia crio coragem e vou ir lá",5,Todas / não sabe / sem resposta clara,5d,"""Ainda vou descobrir / conhecer"""
A-120,Defender os nossos direitos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-121,é lutar e defender as causas trabalhistas e nas conquistas dos nossos direitos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-122,Cuidar para que todos os direitos sejam respeitados,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-123,Acho que é o defender mesmo,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-124,Lutar pelos direitos das domésticas,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-125,Defender as causas trabalhistas,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-126,Se preocupar em defender os direitos das domésticas,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-127,Cuidar dos direitos dos mesmos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-128,Hoje as domésitcas estão importantes tem um sindicato pra ver os direitos delas,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-129,Tudo o que o sindicato faz é muito importante para a trabalhadora,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-130,Ter uma convenção e através deal que conseguimos conquistar nossos direito como domésticas,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-131,Cuidar das causas trabalhistas,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-132,"Ainda não sei dizer mais, vou começar a frequentar, ai vou descobrir as coisas",5,Todas / não sabe / sem resposta clara,5d,"""Ainda vou descobrir / conhecer"""
A-133,Ainda vou descobrir,5,Todas / não sabe / sem resposta clara,5d,"""Ainda vou descobrir / conhecer"""
A-134,E ficar atendo e defender na hora certa,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-135,"Ainda não sei te dizer, mais um dia saberei tudo ai ninguem vai mais me enrolar",5,Todas / não sabe / sem resposta clara,5d,"""Ainda vou descobrir / conhecer"""
A-136,é justamente o de ficar atento aos nossos direitos quando a gente é mandado embora do trabalho,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-137,Acho que é fazer serem respeitados todos os direitos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-138,tá difícil responder isso,5,Todas / não sabe / sem resposta clara,5c,"Explicitamente ""não sabe"""
A-139,Acho que é defender as trabalhadoras quando somos mandado embora,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-140,Acho que não entendi a pergunta,5,Todas / não sabe / sem resposta clara,5c,"Explicitamente ""não sabe"""
A-141,é de defender mesmo as trabalhadoras,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-142,"Ainda não sei qual é a função mais importante, mas já estou interessada em saber",5,Todas / não sabe / sem resposta clara,5d,"""Ainda vou descobrir / conhecer"""
A-143,é defender os direitos mesmo,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-144,Acho que é o de fazer o patrão cuidar dos direitos que temos,3,Apoio jurídico e cobrança dos patrões,3,Apoio jurídico e cobrança dos patrões
A-145,Acho que é lutar pelos direitos das trabalhadoras mesmo,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-146,Vou descobrir com o tempo,5,Todas / não sabe / sem resposta clara,5d,"""Ainda vou descobrir / conhecer"""
A-147,é tentar manter o equilíbrio entre nossos direitos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-148,é nos alertar nos direitos. é lutar contra os preconceitos que sujam no vida no dia a dia,2,Orientação sobre direitos,2,Orientação sobre direitos
A-149,Defender os nossos direitos,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-150,De ficar atentos quando nos somos producarados neles,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-151,Amparar a nós e direcionar a gente certinho quando a gente é mandada embora,4,"Cuidado, proteção e acolhimento",4,"Cuidado, proteção e acolhimento"
A-152,Minha visão é que ele dever estar atendo as nossas solicitações semp que estiver no regulamento,4,"Cuidado, proteção e acolhimento",4,"Cuidado, proteção e acolhimento"
A-153,Creio que seja o de defender os direitos das trabalhadoras,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-154,Orientar certo os trabalhadores,2,Orientação sobre direitos,2,Orientação sobre direitos
A-155,O cuidado com as trabalhadoras. O sindicato é uma benção na nossa vida,4,"Cuidado, proteção e acolhimento",4,"Cuidado, proteção e acolhimento"
A-156,O mais importante é lutar contra esses direitos que não são respeitados,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-157,é o de defender e nos informar mesmo,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-158,"Para ajudar, tirar dúvidas e ter mais informações",2,Orientação sobre direitos,2,Orientação sobre direitos
A-159,O sindicato ajuda as domésticas,5,Todas / não sabe / sem resposta clara,5e,"Vago, genérico ou off-topic"
A-160,Auxiliar o trabalhador,5,Todas / não sabe / sem resposta clara,5e,"Vago, genérico ou off-topic"
A-161,Garantir o que o trabalho siga as regras de acordo com a lei,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-162,É ajudar as trabalhadoras domésticas,5,Todas / não sabe / sem resposta clara,5e,"Vago, genérico ou off-topic"
A-164,Todos são importantes,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-165,Todos,5,Todas / não sabe / sem resposta clara,5a,"""Todas"" / tudo é importante"
A-166,Ajudar todos que precisa,5,Todas / não sabe / sem resposta clara,5e,"Vago, genérico ou off-topic"
A-171,É muito importante,5,Todas / não sabe / sem resposta clara,5e,"Vago, genérico ou off-topic"
A-172,Acredito que precisa divulgar melhor o trabalho e como é importante levar esses conhecimentos para categorias,2,Orientação sobre direitos,2,Orientação sobre direitos
A-173,"Orientar os seus associados, fiscalizar, assegurando os direitos dos empregados domésticos",2,Orientação sobre direitos,2,Orientação sobre direitos
A-174,"Orientar, fiscalizar e ajudar",2,Orientação sobre direitos,2,Orientação sobre direitos
A-177,"Lutar pelos direitos, dignidade do trabalhador doméstico, varolizando-os.",1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-179,Não sei,5,Todas / não sabe / sem resposta clara,5c,"Explicitamente ""não sabe"""
A-180,Não sei,5,Todas / não sabe / sem resposta clara,5c,"Explicitamente ""não sabe"""
A-181,Lutar pelo bem dos funcionários,1,Defesa dos direitos trabalhistas,1,Defesa dos direitos trabalhistas
A-182,Informar os direitos que o trabalhador domésico possui,2,Orientação sobre direitos,2,Orientação sobre direitos
